car_id,brand,model,year,color,engine_type,transmission,price,stock_qty,status,stock_level
C0001,Toyota,Camry,2023,Red,Petrol,Automatic,80338.15,6,Available,In Stock
C0002,Tesla,Model 3,2019,Red,Electric,Manual,26437.73,16,Available,In Stock
C0003,Nissan,Qashqai,2018,Blue,Electric,Automatic,50158.13,20,Available,In Stock
C0004,Hyundai,Sonata,2025,Red,Hybrid,Automatic,33026.14,3,Available,Low in stock
C0005,Toyota,RAV4,2016,White,Hybrid,Manual,79672.9,9,Reserved,In Stock
C0006,Hyundai,Elantra,2019,White,Diesel,Automatic,94225.03,17,Sold,In Stock
C0007,Mercedes,C-Class,2020,Gray,Petrol,Manual,21344.38,7,Reserved,In Stock
C0008,Tesla,Model 3,2021,Gray,Hybrid,Manual,48813.94,14,Reserved,In Stock
C0009,BMW,3 Series,2017,Blue,Electric,Manual,34430.1,14,Sold,In Stock
C0010,Tesla,Model S,2015,Red,Hybrid,Manual,42136.55,0,Sold,Out of Stock
C0011,Tesla,Model 3,2017,Silver,Electric,Automatic,17337.05,3,Available,Low in stock
C0012,Tesla,Model S,2016,Gray,Electric,Manual,78178.58,13,Reserved,In Stock
C0013,Hyundai,Sonata,2018,Blue,Diesel,Manual,92616.24,2,Sold,Low in stock
C0014,Toyota,RAV4,2024,Silver,Hybrid,Automatic,97512.33,18,Reserved,In Stock
C0015,Nissan,Altima,2019,Blue,Diesel,Manual,89267.74,17,Reserved,In Stock
C0016,BMW,3 Series,2024,Black,Petrol,Manual,36006.2,10,Reserved,In Stock
C0017,Nissan,Qashqai,2018,Silver,Petrol,Automatic,30585.94,2,Reserved,Low in stock
C0018,Nissan,Qashqai,2016,Black,Petrol,Manual,71104.74,15,Reserved,In Stock
C0019,Tesla,Model S,2019,White,Diesel,Manual,24426.04,2,Sold,Low in stock
C0020,Toyota,Camry,2022,Blue,Electric,Manual,68270.75,2,Sold,Low in stock
C0021,BMW,3 Series,2020,Red,Diesel,Automatic,60882.36,19,Available,In Stock
C0022,Tesla,Model X,2018,Red,Diesel,Automatic,40366.14,18,Sold,In Stock
C0023,Tesla,Model 3,2024,Silver,Diesel,Automatic,51077.41,20,Reserved,In Stock
C0024,Mercedes,E-Class,2019,Blue,Petrol,Manual,33546.72,8,Sold,In Stock
C0025,Nissan,Altima,2016,Silver,Petrol,Manual,48204.7,2,Available,Low in stock
C0026,BMW,3 Series,2023,Black,Electric,Automatic,94847.47,5,Sold,Low in stock
C0027,Mercedes,E-Class,2020,Gray,Hybrid,Manual,30021.18,8,Available,In Stock
C0028,Kia,Sportage,2016,Blue,Hybrid,Manual,64476.81,10,Sold,In Stock
C0029,Tesla,Model 3,2024,Silver,Hybrid,Manual,87083.91,11,Sold,In Stock
C0030,Hyundai,Tucson,2022,Gray,Diesel,Manual,30892.91,0,Available,Out of Stock
C0031,Mercedes,E-Class,2016,Silver,Petrol,Automatic,66365.92,5,Reserved,Low in stock
C0032,Tesla,Model X,2018,Blue,Petrol,Automatic,65576.93,10,Reserved,In Stock
C0033,Tesla,Model 3,2020,White,Petrol,Manual,21841.21,10,Sold,In Stock
C0034,Toyota,Camry,2023,Blue,Petrol,Automatic,89206.33,18,Available,In Stock
C0035,Kia,Cerato,2023,Blue,Hybrid,Manual,65266.64,5,Sold,Low in stock
C0036,Toyota,Camry,2017,Red,Electric,Automatic,22685.3,13,Available,In Stock
C0037,Kia,Sportage,2024,Red,Diesel,Manual,18249.01,15,Sold,In Stock
C0038,Nissan,Altima,2017,White,Electric,Automatic,17943.21,17,Available,In Stock
C0039,Kia,Cerato,2022,Gray,Hybrid,Automatic,79781.25,19,Available,In Stock
C0040,Tesla,Model X,2016,White,Diesel,Manual,18775.42,15,Sold,In Stock
C0041,Nissan,Qashqai,2015,Blue,Hybrid,Manual,48152.43,15,Sold,In Stock
C0042,Mercedes,E-Class,2018,Gray,Hybrid,Automatic,52740.96,19,Reserved,In Stock
C0043,Hyundai,Sonata,2018,Silver,Diesel,Automatic,24980.76,17,Reserved,In Stock
C0044,BMW,3 Series,2019,White,Diesel,Automatic,34474.21,8,Sold,In Stock
C0045,BMW,5 Series,2020,White,Electric,Manual,85822.19,0,Reserved,Out of Stock
C0046,BMW,X5,2022,White,Hybrid,Automatic,99941.14,11,Sold,In Stock
C0047,Tesla,Model S,2019,White,Electric,Manual,37412.17,7,Available,In Stock
C0048,Mercedes,GLA,2022,Black,Petrol,Automatic,72301.28,17,Available,In Stock
C0049,Tesla,Model S,2020,Red,Diesel,Automatic,58158.34,5,Sold,Low in stock
C0050,Mercedes,C-Class,2024,Red,Diesel,Manual,88724.54,16,Reserved,In Stock
C0051,Kia,Sportage,2020,Gray,Diesel,Automatic,29037.62,5,Sold,Low in stock
C0052,Kia,Sportage,2022,Gray,Diesel,Manual,26075.52,20,Available,In Stock
C0053,Tesla,Model X,2022,Black,Hybrid,Manual,33621.82,13,Sold,In Stock
C0054,Toyota,Camry,2018,Silver,Hybrid,Manual,30129.17,20,Reserved,In Stock
C0055,BMW,X5,2015,Blue,Diesel,Automatic,77348.2,16,Available,In Stock
